,Value
371,1.0683097234452477
372,1.0683097234452477
373,1.0683097234452477
374,1.0685397153600713
375,1.0674105235829432
376,1.0665300328007428
377,1.0665300328007428
378,1.0665300328007428
379,1.0665300328007428
380,1.0665300328007428
381,1.0665300328007428
382,1.0670588471818632
383,1.067661731815446
384,1.0679699696816478
385,1.0686052002295223
386,1.0686212306352814
387,1.0696138763782985
388,1.0696138763782985
389,1.0705486388396894
390,1.0705486388396894
391,1.0705486388396894
392,1.0705486388396894
393,1.073641121080657
394,1.073641121080657
395,1.0736173738765151
396,1.0736997483284627
397,1.0744316605605022
398,1.0744316605605022
399,1.0744316605605022
400,1.0744316605605022
401,1.074597153048659
402,1.074597153048659
403,1.075023535462138
404,1.0755970682369635
405,1.0755970682369635
406,1.0755970682369635
407,1.0757378054889082
408,1.0757378054889082
409,1.0758926400096127
410,1.0692671656522759
411,1.0692671656522759
412,1.0707975457873218
413,1.070875620984731
414,1.071804032709705
415,1.071804032709705
416,1.071804032709705
417,1.071804032709705
418,1.071804032709705
419,1.068109155027049
420,1.0652318855958487
421,1.0652318855958487
422,1.0653109571810744
423,1.0653109571810744
424,1.0660202685887537
425,1.0660202685887537
426,1.0660202732414417
