Baseline,LSTM,Linear,Neural
1.053553666,1.044589804,1.14E+00,1.01E+00
1.058460777,1.044951323,1.15E+00,1.00E+00
1.059570832,1.045200728,1.15E+00,1.01E+00
1.059778504,1.046948565,1.15E+00,1.02E+00
1.058608304,1.050824053,1.15E+00,1.02E+00
1.058608304,1.049082676,1.14E+00,1.04E+00
1.058608304,1.049341836,1.15E+00,1.03E+00
1.058608304,1.049568393,1.14E+00,1.03E+00
1.058608304,1.050408169,1.14E+00,1.03E+00
1.058990315,1.05085854,1.15E+00,1.04E+00
1.057933269,1.049494192,1.15E+00,1.04E+00
1.057933269,1.050056935,1.14E+00,1.04E+00
1.061180908,1.050385834,1.15E+00,1.05E+00
1.061315295,1.051626033,1.15E+00,1.05E+00
1.062935136,1.051158808,1.15E+00,1.04E+00
1.063482265,1.050306853,1.16E+00,1.04E+00
1.063919803,1.05027463,1.16E+00,1.04E+00
1.063718553,1.053008565,1.16E+00,1.04E+00
1.064209411,1.056667318,1.16E+00,1.05E+00
1.065659086,1.057382146,1.16E+00,1.04E+00
1.065659086,1.053920807,1.16E+00,1.04E+00
1.066052911,1.054747264,1.16E+00,1.04E+00
1.068269015,1.055320293,1.16E+00,1.04E+00
1.067575606,1.056573726,1.16E+00,1.04E+00
1.06987984,1.055390446,1.15E+00,1.05E+00
1.070411695,1.054969788,1.14E+00,1.05E+00
1.072142953,1.05999415,1.13E+00,1.06E+00
1.063725511,1.05681509,1.14E+00,1.05E+00
1.061393758,1.054539653,1.15E+00,1.05E+00
1.061393758,1.048873242,1.15E+00,1.05E+00
1.059149231,1.047719772,1.15E+00,1.05E+00
1.059309846,1.051043195,1.15E+00,1.05E+00
1.057878834,1.053421379,1.15E+00,1.05E+00
1.058125269,1.047883991,1.15E+00,1.04E+00
1.058125269,1.04963632,1.15E+00,1.05E+00
1.058125269,1.045041962,1.16E+00,1.05E+00
1.05261815,1.043829259,1.16E+00,1.05E+00
1.05261815,1.042762039,1.16E+00,1.06E+00
1.05261815,1.04399939,1.15E+00,1.06E+00
1.053185849,1.046013033,1.15E+00,1.05E+00
1.053185849,1.051200598,1.16E+00,1.05E+00
1.053269088,1.049785164,1.15E+00,1.05E+00
1.052093404,1.049349965,1.16E+00,1.06E+00
1.046063119,1.049870438,1.15E+00,1.06E+00
1.046185856,1.049066988,1.16E+00,1.06E+00
1.043603686,1.049218839,1.16E+00,1.06E+00
1.042585425,1.034991277,1.16E+00,1.06E+00
1.042585425,1.046097726,1.16E+00,1.06E+00
1.042585425,1.025928046,1.15E+00,1.06E+00
1.037673531,1.035467854,1.15E+00,1.06E+00
1.036287169,1.043504672,1.15E+00,1.06E+00
1.036287169,1.047935623,1.15E+00,1.06E+00
1.036287169,1.044408233,1.15E+00,1.06E+00
1.036287169,1.044342755,1.15E+00,1.06E+00
1.036287169,1.049228962,1.16E+00,1.06E+00
1.036455626,1.044176141,1.16E+00,1.05E+00
1.038355766,1.044892358,1.16E+00,1.05E+00
1.038355766,1.049412494,1.15E+00,1.04E+00
1.035988515,1.040552687,1.15E+00,1.04E+00
1.035988515,1.037468296,1.15E+00,1.03E+00
1.035988515,1.037482811,1.15E+00,1.03E+00
1.033618155,1.044517224,1.15E+00,1.03E+00
1.033618155,1.044268816,1.15E+00,1.03E+00
1.033618155,1.04007632,1.15E+00,1.05E+00
1.033618155,1.038524621,1.15E+00,1.03E+00
1.037993398,1.043241978,1.14E+00,1.03E+00
1.04121647,1.041880784,1.15E+00,1.03E+00
1.039680647,1.0473648,1.15E+00,1.03E+00
1.04087431,1.038781593,1.15E+00,1.04E+00
1.04150003,1.035738694,1.15E+00,1.03E+00
