,0
153,-0.0031840652
154,-0.0031870585
155,-0.0031893123
156,-0.003190944
157,-0.003192151
158,-0.003193004
159,-0.0031935908
160,-0.0031939913
161,-0.003194211
162,-0.003194414
163,-0.0031944588
164,-0.0031945072
165,-0.003194498
166,-0.0031944793
167,-0.0031944364
168,-0.0031944402
169,-0.0031943992
170,-0.003194306
171,-0.0031942353
172,-0.0031942017
173,-0.0031941254
174,-0.0031941514
175,-0.0031940937
176,-0.003194077
177,-0.0031940714
178,-0.003194049
179,-0.0031940527
180,-0.0031940565
181,-0.0031940192
182,-0.0031940732
183,-0.0031940117
184,-0.003194021
185,-0.003193941
186,-0.0031939894
187,-0.003193982
188,-0.003193982
189,-0.003193982
190,-0.003193982
191,-0.003193982
192,-0.003193982
193,-0.003193982
194,-0.003193982
195,-0.003193982
196,-0.003193982
197,-0.0031588208
198,-0.003161382
199,-0.0031736512
200,-0.00318137
201,-0.0031862333
202,-0.0031893514
203,-0.003191268
204,-0.0031924285
205,-0.003193153
206,-0.0031935833
207,-0.003193846
208,-0.0031939968
209,-0.0031940285
210,-0.0031940527
211,-0.0031940732
212,-0.0031940676
213,-0.0031940471
214,-0.0031940117
215,-0.003193995
216,-0.0031939559
217,-0.003193982
218,-0.0031939875
219,-0.0031939894
220,-0.0031939708
221,-0.0031939913
222,-0.0031939913
223,-0.0031939764
224,-0.0031940043
225,-0.0031939968
226,-0.0031940136
227,-0.00319398
228,-0.003193982
229,-0.003193982
230,-0.003193995
231,-0.003193982
232,-0.0031939782
233,-0.0031939782
234,-0.003193954
235,-0.003193967
236,-0.003193967
237,-0.003193967
238,-0.003193982
239,-0.003193982
240,-0.003193982
241,-0.0057872785
242,-0.0058018034
243,-0.004743034
244,-0.0040070238
245,-0.0035461672
246,-0.0032683779
247,-0.0031445082
248,-0.003098974
249,-0.0030859932
250,-0.0030712672
251,-0.0030847676
252,-0.003105903
253,-0.0037858672
254,-0.003705237
255,-0.003165232
256,-0.0054449327
257,0.00019241031
258,-0.002008359
259,-0.0029689483
260,-0.0031922702
261,-0.0032599047
262,-0.0031534275
263,-0.0030408744
264,-0.0029924586
265,-0.0038859881
266,-0.0038943142
267,-0.0034859404
268,-0.004781992
269,-0.0043699136
270,-0.003680233
271,-0.004057605
272,-0.0039704777
273,-0.0033244025
274,-0.0029259808
275,-0.0027114674
276,-0.0026406646
277,-0.002681559
278,-0.0027442183
279,-0.0028008185
280,-0.0028492156
281,-0.00288108
282,-0.0029135812
283,-0.0021229237
284,-0.0056067742
285,-0.0064874617
286,-0.005165966
287,-0.004209361
288,-0.0036059627
289,-0.0032459907
290,-0.0030447245
291,-0.0029428657
292,-0.0029004272
293,-0.002891546
294,-0.0029001385
295,-0.0029165559
296,-0.002935063
297,-0.0029527862
298,-0.0029683858
299,-0.0029813815
300,-0.0029917303
301,-0.0029998086
302,-0.0030058436
303,-0.0030099005
304,-0.0030039418
305,-0.0031080153
306,-0.0031954367
307,-0.0031961761
308,-0.003196558
309,-0.0031966902
310,-0.0031966735
311,-0.003196543
312,-0.0031963903
313,-0.0031961892
314,-0.003195908
315,-0.0031957012
316,-0.0031946395
317,-0.003194483
318,-0.0038775
319,-0.003887564
320,-0.00358117
321,-0.0033706948
322,-0.003255574
323,-0.0031963307
324,-0.003168637
325,-0.0031583365
326,-0.0031571016
327,-0.0031602606
328,-0.0031651277
329,-0.0031703338
330,-0.0031752102
331,-0.0031794347
332,-0.00318289
333,-0.0031856447
334,-0.0031878352
335,-0.003189588
336,-0.0031908844
337,-0.0031918567
338,-0.0031925756
339,-0.0031931084
340,-0.0031934716
341,-0.0031937547
342,-0.0031939205
343,-0.003194023
344,-0.0031941123
345,-0.0031941608
346,-0.0031941626
347,-0.0031942204
348,-0.0031942055
349,-0.0031930264
350,-0.0031930804
351,-0.0031934679
352,-0.0031928588
353,-0.0031930525
354,-0.0031934176
355,-0.0031286404
356,-0.003122896
357,-0.0031078234
358,-0.0030013472
359,-0.001521457
360,-0.0026678983
361,-0.002639426
362,-0.0026937257
363,-0.0027872548
364,-0.0028681792
365,-0.00291856
366,-0.002938481
367,-0.002991913
368,-0.0032464545
369,-0.0029520188
370,-0.0028202645
371,-0.0027925596
372,-0.002858596
373,-0.002484724
374,-0.0039054584
375,-0.0035934187
376,-0.0031933226
377,-0.0029771198
378,-0.0028922819
379,-0.0028815344
380,-0.0029126368
381,-0.0029565375
382,-0.00296586
383,-0.004690218
384,-0.0045259204
385,-0.005089122
386,-0.0047303215
387,-0.0039441697
388,-0.0034585278
389,-0.0032051224
390,-0.0030856766
391,-0.003040418
392,-0.0030340161
393,-0.0030467287
394,-0.0030672457
395,-0.0030893423
396,-0.0031101145
397,-0.003128279
398,-0.0031434037
399,-0.003155565
400,-0.0031653326
401,-0.0031729378
402,-0.0031788107
403,-0.003183188
404,-0.0031865686
405,-0.0031890124
406,-0.0031907056
407,-0.003192054
408,-0.0031929594
409,-0.003193561
410,-0.0031940266
411,-0.0031941514
412,-0.0031943228
413,-0.003194455
414,-0.0031945202
415,-0.0031945128
416,-0.0031945296
417,-0.0031944942
418,-0.0031944495
419,-0.0031944178
420,-0.0031943414
421,-0.0031943228
422,-0.0031942315
423,-0.003194198
424,-0.0031942148
425,-0.0031941459
426,-0.0031941496
427,-0.0031940937
428,-0.0031941142
429,-0.0031940695
430,-0.0031940676
431,-0.0031940416
